epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1114.23,1.60137,1.54753,0.97613,0.60785,0.37717,0.38162,0.23298,1.41394,1.1319,0.95716,0.009998,0.00333267,0.009998,0.00333267,0.009998,0.00333267,0.009998,0.00333267
2,1905.43,1.52148,1.11832,0.94638,0.6192,0.39609,0.39101,0.23886,1.40563,1.07427,0.97255,0.0194323,0.00647745,0.0194323,0.00647745,0.0194323,0.00647745,0.0194323,0.00647745
3,2705.13,1.5328,1.08625,0.95049,0.62768,0.39538,0.40742,0.2474,1.39769,1.08653,0.97865,0.028301,0.00943366,0.028301,0.00943366,0.028301,0.00943366,0.028301,0.00943366
4,3433.94,1.49566,1.04798,0.94487,0.61993,0.43287,0.42534,0.26509,1.35045,1.00962,0.97076,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
5,4158.08,1.42874,0.96812,0.93076,0.68085,0.44077,0.4678,0.29982,1.29771,0.93494,0.95159,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
6,5064.84,1.37626,0.91445,0.91847,0.69974,0.46763,0.49071,0.3208,1.25601,0.89131,0.93998,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
7,5904.98,1.33226,0.86648,0.90906,0.72035,0.47875,0.52146,0.34729,1.20575,0.82745,0.92659,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286
8,6663.9,1.30116,0.83517,0.90188,0.73142,0.4815,0.52218,0.3504,1.19736,0.82216,0.92095,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
9,7378.59,1.27558,0.81256,0.89878,0.76766,0.49239,0.54779,0.36679,1.17613,0.79376,0.91823,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714
10,8097.17,1.25527,0.79165,0.89393,0.79733,0.49725,0.56548,0.38121,1.1512,0.76931,0.91049,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429
11,8821.14,1.2377,0.77474,0.8895,0.7784,0.5053,0.5687,0.38288,1.14148,0.75095,0.90716,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143
12,9543.74,1.22006,0.76023,0.88682,0.77072,0.52982,0.5823,0.39731,1.13075,0.73254,0.9039,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857
13,10334.9,1.20868,0.74807,0.8837,0.63895,0.5422,0.58127,0.39691,1.11671,0.72261,0.90249,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571
14,11478.7,1.19326,0.73291,0.88074,0.62851,0.58138,0.60269,0.41089,1.11075,0.70723,0.89985,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286
15,12302.6,1.18262,0.72236,0.87908,0.80166,0.53163,0.60098,0.41218,1.09431,0.69821,0.89645,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
16,13246.5,1.17407,0.71327,0.87674,0.72495,0.55791,0.6113,0.42144,1.08743,0.68487,0.89397,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714
17,14598.8,1.16339,0.70354,0.87415,0.67385,0.55889,0.61507,0.42435,1.07538,0.67783,0.89064,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429
18,15450,1.14614,0.69081,0.87178,0.69294,0.56828,0.61971,0.42803,1.06682,0.66662,0.88694,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143
19,16197.7,1.14002,0.68499,0.87114,0.65145,0.55303,0.62355,0.43272,1.06117,0.6595,0.88678,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857
20,16915.7,1.13388,0.67444,0.86872,0.7163,0.57742,0.63282,0.43788,1.05387,0.64713,0.88339,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571
21,17636.4,1.12232,0.66845,0.86766,0.72961,0.59173,0.63771,0.44207,1.04853,0.64617,0.88448,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286
22,18379.9,1.11305,0.65961,0.86564,0.70534,0.597,0.63592,0.44215,1.04525,0.64105,0.88121,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
23,19107,1.10863,0.65583,0.86439,0.69906,0.57267,0.643,0.44502,1.03811,0.63362,0.88047,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714
24,19848.6,1.10305,0.64841,0.86251,0.73037,0.58948,0.64618,0.44882,1.03351,0.6279,0.87802,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429
25,20601.7,1.09175,0.64071,0.86153,0.75355,0.58748,0.64798,0.45177,1.02633,0.6247,0.87637,0.00963429,0.00321143,0.00963429,0.00321143,0.00963429,0.00321143,0.00963429,0.00321143
26,21440.1,1.05306,0.60537,0.85796,0.73588,0.59838,0.64912,0.45426,1.02679,0.62082,0.87644,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857
27,22244.5,1.03713,0.59216,0.85551,0.72212,0.59963,0.64798,0.45556,1.01897,0.6153,0.87464,0.00793714,0.00264571,0.00793714,0.00264571,0.00793714,0.00264571,0.00793714,0.00264571
28,23416.9,1.02397,0.58391,0.85358,0.7082,0.61739,0.65278,0.45827,1.01205,0.61229,0.87355,0.00708857,0.00236286,0.00708857,0.00236286,0.00708857,0.00236286,0.00708857,0.00236286
29,24525.6,1.01719,0.57645,0.85185,0.71621,0.61056,0.65106,0.45897,1.00725,0.61024,0.87307,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
30,25231.4,1.00708,0.56756,0.84956,0.72588,0.60859,0.65286,0.461,1.00267,0.60706,0.87215,0.00539143,0.00179714,0.00539143,0.00179714,0.00539143,0.00179714,0.00539143,0.00179714
31,25936.2,0.99732,0.56104,0.84799,0.70406,0.62084,0.65509,0.46194,1.0002,0.60407,0.87173,0.00454286,0.00151429,0.00454286,0.00151429,0.00454286,0.00151429,0.00454286,0.00151429
32,26627,0.98623,0.55394,0.84643,0.74186,0.61097,0.65621,0.46313,0.99674,0.59974,0.87102,0.00369429,0.00123143,0.00369429,0.00123143,0.00369429,0.00123143,0.00369429,0.00123143
33,27309.4,0.97925,0.54682,0.84506,0.75331,0.60331,0.65851,0.4658,0.99417,0.59669,0.87071,0.00284571,0.000948571,0.00284571,0.000948571,0.00284571,0.000948571,0.00284571,0.000948571
34,27989.9,0.96818,0.53796,0.84307,0.73616,0.60907,0.65898,0.46662,0.9919,0.59437,0.87001,0.00199714,0.000665714,0.00199714,0.000665714,0.00199714,0.000665714,0.00199714,0.000665714
35,28682.5,0.96009,0.53191,0.84143,0.74778,0.60413,0.66024,0.46803,0.98976,0.59266,0.86946,0.00114857,0.000382857,0.00114857,0.000382857,0.00114857,0.000382857,0.00114857,0.000382857
