epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1254.47,1.42115,1.10138,0.93116,0.63571,0.45806,0.49757,0.31226,1.28745,0.92464,0.92128,0.009998,0.00333267,0.009998,0.00333267,0.009998,0.00333267,0.009998,0.00333267
2,2373.48,1.36679,0.91227,0.91471,0.59564,0.51375,0.50777,0.3199,1.25376,0.88126,0.93231,0.0194323,0.00647745,0.0194323,0.00647745,0.0194323,0.00647745,0.0194323,0.00647745
3,3309.55,1.38361,0.92596,0.92035,0.7129,0.44843,0.48146,0.30825,1.26325,0.94725,0.94684,0.028301,0.00943366,0.028301,0.00943366,0.028301,0.00943366,0.028301,0.00943366
4,4263.47,1.34842,0.90467,0.91698,0.69418,0.48011,0.51323,0.33057,1.20847,0.85086,0.94145,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
5,5241.62,1.27284,0.82089,0.90292,0.6385,0.53221,0.56334,0.37366,1.16809,0.79034,0.92601,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
6,6171.46,1.22905,0.77442,0.89301,0.67461,0.53943,0.58813,0.3905,1.13378,0.74507,0.91252,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
7,7099.14,1.18817,0.73474,0.88442,0.63382,0.56337,0.60471,0.41226,1.09305,0.70608,0.90319,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286
8,8038.3,1.15969,0.70316,0.87828,0.71108,0.56995,0.62712,0.42533,1.08239,0.69383,0.90095,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
9,8981.67,1.13469,0.68311,0.87444,0.74371,0.58669,0.63825,0.43639,1.06436,0.66516,0.89456,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714
10,9917.33,1.11596,0.66329,0.87099,0.69742,0.60182,0.65178,0.4469,1.04399,0.64605,0.88792,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429
